ID;Name;Sweetness;Saltiness;Sourness;Bitterness;Savoriness;Fattiness;Spiciness;Calories;Fat;Saturated_Fat;Carbohydrates;Net_Carbohydrates;Sugar;Cholesterol;Sodium;Protein;Type;Link;Image_Type
640815;Crispy Fried Perch Fillets;20.57;85.61;7.92;5.74;29.09;100;0;311.52;19.63;4.27;18.4;16.51;0.84;152.37;427.49;15.71;Main_course;https://spoonacular.com/recipeImages/640815-556x370.jpg;jpg
1095743;Coconut Curry Ramen Noodles;97.53;99.52;49.76;39.28;100;87.78;0.12;630.04;32.09;22.48;75.09;66.08;13.3;0;2628.29;15.64;Main_course;https://spoonacular.com/recipeImages/1095743-556x370.jpg;jpg
1096057;Cheesy Beef Burrito;39.74;100;39.7;20.75;59.99;82.42;9.56796405;823.76;32.37;12.36;63.16;52;13.94;176.41;1782.08;68.04;Main_course;https://spoonacular.com/recipeImages/1096057-556x370.jpg;jpg
634891;Best Chicken Parmesan;26.07;100;16.49;16.06;65.12;66.3;0;635.73;26.02;12.99;43.87;41.69;3.21;219.07;1028.38;53.34;Main_course;https://spoonacular.com/recipeImages/634891-556x370.jpg;jpg
75081;Beef Wellington;16.87;100;28.12;18.5;61.08;67.23;0;1116.03;86.2;31.5;24.02;22.85;1.36;225.14;395.38;0.32;Main_course;https://spoonacular.com/recipeImages/75081-556x370.jpg;jpg
638035;Chicken Cordon Bleu;17.52;100;16.35;16.94;67.38;57.78;0;416.73;20.82;9.19;11.99;11.29;0.69;175.86;620.65;42.98;Main_course;https://spoonacular.com/recipeImages/638035-556x370.jpg;jpg
636488;Butter Chicken;50.69;16.63;39.68;12.02;9.24;100;0.04;652.61;56.99;33.49;29.76;24.38;20.79;162.87;1730.02;11.94;Main_course;https://spoonacular.com/recipeImages/636488-556x370.jpg;jpg
638382;Chicken Teriyaki with Soba Noodles;34.55;100;35.93;38.94;86.05;69.9;0.0455;695.67;15.8;2.44;101.11;96.9;18.89;72.32;3588.87;1.7;Main_course;https://spoonacular.com/recipeImages/638382-556x370.jpg;jpg
680975;BLT Pizza;86.05;86.04;99.42;37.4;42.61;100;0;627.71;25.83;13.87;73.64;70.07;6.69;55.78;1160.93;25.74;Main_course;https://spoonacular.com/recipeImages/680975-556x370.jpg;jpg
645863;Grilled Salmon With Mango Salsa;89.09;100;48.8;18.81;71.35;67.99;0;727.03;14.46;2.24;96.08;88.92;67.23;124.74;295.45;51.75;Main_course;https://spoonacular.com/recipeImages/645863-556x370.jpg;jpg
715448;Creamy Alfredo and Shrimp Pasta;23.39;34.8;12.59;12.14;26.84;100;0;797.55;39.89;16.8;49;47.15;6.52;435.81;850.34;61.23;Main_course;https://spoonacular.com/recipeImages/715448-556x370.jpg;jpg
1697739;Shrimp Tacos with Avocado, Grapefruit, and Creamy Cilantro Sauce;50.32;4.12;72.69;100;22.08;18.78;0.024;207.15;11.41;3.04;21.31;16.29;12.08;59.61;340.59;8.57;Main_course;https://spoonacular.com/recipeImages/1697739-556x370.jpeg;jpg
636682;Chicken Caesar Salad;12.59;100;33.54;30.85;64.25;63.36;0;292.92;15.68;3.85;6.21;3.8;2.11;92.28;514.36;31.24;Breakfast;https://spoonacular.com/recipeImages/636682-556x370.jpg;jpg
653371;Nutella Stuffed French Toast;100;46.67;8.92;5.14;28.83;68.25;0;377.81;20.32;15.04;40.27;37.84;35.55;178.09;131.14;8.83;Breakfast;https://spoonacular.com/recipeImages/653371-556x370.jpg;jpg
660820;Spaghetti With Bolognese Sauce;73.05;100;62;42.89;53.62;75.89;0;346.41;27.17;11.04;7.64;5.97;3.74;76.09;749.2;2.12;Main_course;https://spoonacular.com/recipeImages/660820-556x370.jpg;jpg
634496;BBQ Mac and Cheese;100;80.72;48.67;40.53;89.21;95.09;0.03675;812.67;25.59;13.88;109.2;104.26;17.21;70.09;1250.65;36.22;Main_course;https://spoonacular.com/recipeImages/634496-556x370.jpg;jpg
634476;Bbq Chicken;21.3;100;13.34;16.5;69.85;55.59;0;478.31;29.24;8.32;15.21;15.03;12.96;144.58;886.82;37.1;Main_course;https://spoonacular.com/recipeImages/634476-556x370.jpg;jpg
649487;Lemon - Garlic Chicken;11.95;100;57.37;47.64;71.64;67.72;0;797.61;40.06;6.49;10.16;9.33;3.1;289.28;721.95;96.76;Main_course;https://spoonacular.com/recipeImages/649487-556x370.jpg;jpg
