ID;Nama;Gender;Age;Height;Weight;Active;Fruit;Healthy;Sweetness;Saltiness;Sourness;Bitterness;Savoriness;Fattiness;Spiciness;Fried Rice - Chinese comfort food;Meatball Vegetable Soup;Chicken Satay;Simple Rendang;Chicken Porridge;Honey-Glazed Grilled Chicken;Chinese Style Chicken and Noodle Stir Fry;Monastery soup;My Asian Fried Fish Fillet;Pan-Fried Stuffed Tofu With Oyster Sauce;Grilled Duck;Autumn Salad;Japanese Sushi;Beef Tenderloin Steaks with Seared Mushrooms and Red Wine Vinaigrette;Vegetable Noodles;Chocolate Oatmeal;Creamy Curry Chicken With Yellow Rice;Thai Fish Cakes;Crispy Chicken Burger;An American Beef Burger;The Perfect Scrambled Eggs - Every Time;Smoked Salmon Fettuccine;Kare Katsu;Easy Crispy Oven Chicken;Mushroom Quesadillas;Lasagna Silvia;Chicken Wings;Crispy Fried Perch Fillets;Coconut Curry Ramen Noodles;Cheesy Beef Burrito;Best Chicken Parmesan;Beef Wellington;Chicken Cordon Bleu;Butter Chicken;Chicken Teriyaki with Soba Noodles;BLT Pizza;Grilled Salmon With Mango Salsa;Creamy Alfredo and Shrimp Pasta;Shrimp Tacos with Avocado, Grapefruit, and Creamy Cilantro Sauce;Chicken Caesar Salad;Nutella Stuffed French Toast;Spaghetti With Bolognese Sauce;BBQ Mac and Cheese;Bbq Chicken;Lemon - Garlic Chicken
31;Unknown;Male;21;168;75;Light activity;1;3;1.993011111;3.7232;1.334726667;1.241477778;2.453984444;3.170588889;0.040184293;4;4;4;5;3;5;4;4;4;3;3;3;3;5;4;4;3;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;4;5;4;4;5;3;5;5
32;Unknown;Male;22;168;78;Light activity;2;2;1.938022222;3.692404444;1.260508889;1.161557778;2.454782222;3.199966667;0.036140268;5;5;5;5;5;5;5;5;5;3;5;1;3;5;5;1;5;5;5;5;5;5;5;5;3;5;5;5;5;3;3;5;3;5;5;3;5;5;3;3;3;5;3;5;5
33;Unknown;Female;22;164;82;Active;4;4;1.411642222;2.648751111;0.955142222;0.92036;1.804935556;2.240591111;0.02450749;3;3;4;3;3;4;5;4;2;3;5;3;2;2;5;3;3;3;1;1;1;5;5;2;2;2;4;1;3;3;2;1;4;4;4;2;2;1;1;5;2;5;5;5;5
34;Unknown;Male;20;178;57;Moderate active;2;2;1.602933333;2.97238;1.049233333;0.986935556;1.965297778;2.574831111;0.024923229;5;4;4;3;2;5;4;3;3;3;4;4;3;5;3;3;3;3;4;4;3;3;3;4;3;3;4;4;4;3;3;3;3;4;4;4;3;4;4;4;3;4;1;4;3
35;Unknown;Male;19;156;54;Light activity;3;3;1.53348;2.831288889;1.025097778;0.926868889;1.883762222;2.393733333;0.018662953;2;4;4;2;1;2;5;2;2;2;3;4;4;3;1;2;1;5;3;2;3;3;3;5;4;4;5;2;3;2;5;4;2;3;4;5;4;3;4;4;3;5;5;5;2
36;Unknown;Female;21;163;51;Light activity;2;2;1.931213636;3.378665909;1.219370455;1.122415909;2.214093182;2.922634091;0.02647718;3;5;4;3;3;5;5;5;5;5;0;3;2;3;4;4;5;4;5;3;4;4;5;5;4;3;5;5;5;3;3;3;5;5;5;5;2;3;2;2;4;5;4;4;5
37;Unknown;Male;21;173;88;Moderate active;3;4;1.985911905;3.765164286;1.2265;1.148895238;2.461519048;3.154730952;0.03749966;3;4;4;4;5;3;4;5;3;5;4;5;3;3;4;5;5;5;4;4;4;4;4;4;5;4;5;5;4;5;5;4;4;0;4;4;5;4;0;5;4;0;4;5;5
38;Unknown;Female;20;160;40;Active;3;3;1.512117778;2.483375556;0.843331111;0.834175556;1.658166667;2.141597778;0.015362536;5;4;2;2;2;4;5;5;4;5;1;3;2;5;4;3;5;2;3;3;4;4;4;5;1;1;2;3;5;1;2;2;2;2;3;1;3;1;2;1;5;3;3;3;1
39;Unknown;Female;21;150;41;Not active;3;3;1.841324444;3.262848889;1.147948889;1.102084444;2.112997778;2.842615556;0.03266061;5;5;5;4;4;4;4;5;4;4;4;4;3;3;3;5;4;5;4;4;4;3;5;2;3;3;4;4;2;4;4;4;4;4;4;4;4;4;4;3;4;2;4;3;5
40;Unknown;Male;21;172;68;Moderate active;3;4;1.615351111;3.002033333;0.994404444;0.949237778;1.956751111;2.563713333;0.033143503;5;4;5;5;3;5;5;5;4;4;4;3;3;4;3;3;5;5;4;4;3;3;4;3;3;3;5;3;3;2;3;3;3;3;3;3;3;2;2;2;3;3;2;4;3
